orderdetailid,orderid,itemid,PreparationTime,DeliveryTime,TotalTime
216,216,352,17,54,71
217,217,431,28,91,119
218,218,200,24,81,105
219,219,184,25,67,92
220,220,311,52,18,70
221,221,172,25,111,136
222,222,407,12,119,131
223,223,126,16,30,46
224,224,359,43,42,85
225,225,341,38,21,59
226,226,273,18,37,55
227,227,53,37,82,119
228,228,142,28,33,61
229,229,209,58,37,95
230,230,4,17,96,113
231,231,467,18,99,117
232,232,258,42,110,152
233,233,364,33,32,65
234,234,195,11,74,85
235,235,286,49,68,117
236,236,126,34,82,116
237,237,401,26,55,81
238,238,448,22,103,125
239,239,265,56,46,102
240,240,228,47,88,135
241,241,156,25,15,40
242,242,334,60,45,105
243,243,336,54,83,137
244,244,369,50,53,103
245,245,254,29,49,78
246,246,65,26,86,112
247,247,2,60,61,121
248,248,465,58,58,116
249,249,467,20,116,136
250,250,36,19,44,63
251,251,118,44,63,107
252,252,42,37,44,81
253,253,39,29,60,89
254,254,454,48,53,101
255,255,382,18,43,61
256,256,136,42,91,133
257,257,46,48,45,93
258,258,113,10,69,79
259,259,324,54,31,85
260,260,141,15,36,51
261,261,317,31,82,113
262,262,415,33,65,98
263,263,420,26,55,81
264,264,61,14,113,127
265,265,147,60,20,80
266,266,346,25,45,70
267,267,223,39,109,148
268,268,430,36,80,116
269,269,43,20,97,117
270,270,72,15,119,134
271,271,417,47,116,163
272,272,338,18,56,74
273,273,310,10,118,128
274,274,440,44,118,162
275,275,50,33,16,49
276,276,304,35,112,147
277,277,171,29,112,141
278,278,206,33,115,148
279,279,445,40,65,105
280,280,471,28,103,131
281,281,63,16,36,52
282,282,68,33,83,116
283,283,142,45,104,149
284,284,118,40,31,71
285,285,166,58,49,107
286,286,38,14,68,82
287,287,471,21,58,79
288,288,365,24,98,122
289,289,82,17,77,94
290,290,403,50,64,114
291,291,104,44,77,121
292,292,262,24,59,83
293,293,81,14,73,87
294,294,283,57,76,133
295,295,19,53,35,88
296,296,274,49,70,119
297,297,270,20,76,96
298,298,16,51,120,171
299,299,215,33,100,133
300,300,34,29,65,94
301,301,429,33,118,151
302,302,134,30,68,98
303,303,287,29,114,143
304,304,10,16,25,41
305,305,5,15,33,48
306,306,279,20,43,63
307,307,357,44,15,59
308,308,158,45,102,147
309,309,259,19,95,114
310,310,15,17,115,132
311,311,113,59,45,104
312,312,400,28,20,48
313,313,85,20,20,40
314,314,413,53,100,153
315,315,261,60,92,152
316,316,314,42,101,143
317,317,40,24,83,107
318,318,61,30,94,124
319,319,168,37,56,93
320,320,403,18,67,85
321,321,420,34,36,70
322,322,361,32,94,126
323,323,358,37,95,132
324,324,245,22,92,114
325,325,426,15,57,72
326,326,451,44,81,125
327,327,90,21,81,102
328,328,394,59,105,164
329,329,155,51,32,83
330,330,435,28,18,46
331,331,366,14,100,114
332,332,184,27,26,53
333,333,331,18,47,65
334,334,206,33,73,106
335,335,425,54,45,99
336,336,30,49,112,161
337,337,208,18,92,110
338,338,394,50,68,118
339,339,466,21,22,43
340,340,381,49,98,147
341,341,377,40,91,131
342,342,183,10,29,39
343,343,440,36,32,68
344,344,406,60,29,89
345,345,420,34,95,129
346,346,420,25,31,56
347,347,301,46,119,165
348,348,315,32,106,138
349,349,249,23,64,87
350,350,244,59,38,97
351,351,34,25,116,141
352,352,183,51,48,99
353,353,395,18,59,77
354,354,447,40,111,151
355,355,304,13,111,124
356,356,146,59,72,131
357,357,312,40,83,123
358,358,414,16,53,69
359,359,328,20,20,40
360,360,301,56,96,152
361,361,355,19,93,112
362,362,287,33,46,79
363,363,467,15,96,111
364,364,370,26,74,100
365,365,443,18,45,63
366,366,374,52,21,73
367,367,235,16,32,48
368,368,184,13,85,98
369,369,215,24,66,90
370,370,302,21,29,50
371,371,61,21,42,63
372,372,22,58,15,73
373,373,88,14,64,78
374,374,392,28,50,78
375,375,311,20,71,91
376,376,341,13,100,113
377,377,303,39,63,102
378,378,347,37,79,116
379,379,141,11,49,60
380,380,296,16,73,89
381,381,181,24,88,112
382,382,234,14,113,127
383,383,358,57,15,72
384,384,51,32,102,134
385,385,178,29,38,67
386,386,126,49,69,118
387,387,121,27,76,103
388,388,291,47,70,117
389,389,94,47,90,137
390,390,448,44,26,70
391,391,301,27,116,143
392,392,329,37,51,88
393,393,8,48,83,131
394,394,131,13,27,40
395,395,24,10,93,103
396,396,27,55,50,105
397,397,2,49,31,80
398,398,213,59,78,137
399,399,307,54,105,159
400,400,47,48,36,84
401,401,162,15,75,90
402,402,420,53,114,167
403,403,196,58,29,87
404,404,350,32,73,105
405,405,290,24,70,94
406,406,172,35,100,135
407,407,166,59,109,168
408,408,434,21,50,71
409,409,219,49,69,118
410,410,47,10,22,32
411,411,415,28,93,121
412,412,384,52,90,142
413,413,385,39,91,130
414,414,434,52,94,146
415,415,327,38,77,115
416,416,450,18,75,93
417,417,391,54,115,169
418,418,173,54,69,123
419,419,313,58,108,166
420,420,270,22,113,135
421,421,397,33,27,60
422,422,32,33,37,70
423,423,144,22,75,97
424,424,48,23,72,95
425,425,292,50,85,135
426,426,163,25,22,47
427,427,143,14,16,30
428,428,376,29,93,122
429,429,419,56,85,141
430,430,316,20,29,49
431,431,9,53,28,81
432,432,322,51,51,102
433,433,455,27,76,103
434,434,330,30,40,70
435,435,13,40,40,80
436,436,294,47,109,156
437,437,8,54,72,126
438,438,116,49,82,131
439,439,158,52,79,131
440,440,469,56,111,167
441,441,375,40,79,119
442,442,383,30,99,129
443,443,298,54,55,109
444,444,45,56,99,155
445,445,227,41,117,158
446,446,349,17,34,51
447,447,158,24,33,57
448,448,386,33,69,102
449,449,229,56,30,86
450,450,91,18,107,125
451,451,237,51,64,115
452,452,95,42,82,124
453,453,344,42,50,92
454,454,292,30,40,70
455,455,300,46,27,73
456,456,456,33,97,130
457,457,230,14,35,49
458,458,197,33,101,134
459,459,46,37,45,82
460,460,157,50,81,131
461,461,478,38,17,55
462,462,454,18,48,66
463,463,154,51,65,116
464,464,360,12,102,114
465,465,165,55,15,70
466,466,114,19,31,50
467,467,161,40,69,109
468,468,117,25,22,47
469,469,1,50,93,143
470,470,309,54,67,121
471,471,269,46,17,63
472,472,53,36,16,52
473,473,286,31,23,54
474,474,52,23,16,39
475,475,178,60,87,147
476,476,412,53,120,173
477,477,479,38,19,57
478,478,481,43,65,108
479,479,166,49,79,128
480,480,143,38,36,74
481,481,372,30,77,107
482,482,72,46,47,93
483,483,58,42,99,141
484,484,194,36,84,120
485,485,474,47,15,62
486,486,46,39,29,68
487,487,462,49,64,113
488,488,367,25,34,59
489,489,227,29,89,118
490,490,252,14,88,102
491,491,314,37,99,136
492,492,192,49,64,113
493,493,367,13,114,127
494,494,21,19,79,98
495,495,89,40,15,55
496,496,100,23,95,118
497,497,481,11,36,47
498,498,92,42,59,101
499,499,364,29,85,114
500,500,153,58,112,170
501,501,263,42,76,118
502,502,450,11,41,52
503,503,298,29,97,126
504,504,89,33,76,109
505,505,199,40,116,156
506,506,355,21,51,72
507,507,302,24,47,71
508,508,413,25,43,68
509,509,299,31,85,116
510,510,239,58,34,92
511,511,441,22,77,99
512,512,117,41,70,111
513,513,86,12,35,47
514,514,415,23,68,91
515,515,334,20,102,122
516,516,211,41,99,140
517,517,162,55,60,115
518,518,12,50,37,87
519,519,289,31,70,101
520,520,311,28,71,99
521,521,343,45,91,136
522,522,362,52,75,127
523,523,177,18,66,84
524,524,194,23,15,38
525,525,99,36,79,115
526,526,71,25,92,117
527,527,281,35,70,105
528,528,477,52,53,105
529,529,192,23,53,76
530,530,332,40,102,142
531,531,469,52,59,111
532,532,268,45,115,160
533,533,279,40,103,143
534,534,15,18,97,115
535,535,232,29,28,57
536,536,481,59,42,101
537,537,452,50,71,121
538,538,151,32,64,96
539,539,230,58,92,150
540,540,255,14,70,84
541,541,144,47,66,113
542,542,337,21,90,111
543,543,256,58,53,111
544,544,253,18,33,51
545,545,470,31,86,117
546,546,422,12,92,104
547,547,15,25,34,59
548,548,371,37,109,146
549,549,127,34,78,112
550,550,24,12,51,63
551,551,112,32,110,142
552,552,452,41,119,160
553,553,61,49,40,89
554,554,37,58,39,97
555,555,348,17,46,63
556,556,377,48,119,167
557,557,161,27,27,54
558,558,80,19,64,83
559,559,323,31,117,148
560,560,345,53,55,108
561,561,84,23,27,50
562,562,248,32,93,125
563,563,32,51,92,143
564,564,159,20,95,115
565,565,288,18,28,46
566,566,468,41,94,135
567,567,283,49,28,77
568,568,324,13,88,101
569,569,262,59,25,84
570,570,270,21,37,58
571,571,75,53,34,87
572,572,87,42,65,107
573,573,304,17,85,102
574,574,234,55,99,154
575,575,31,53,109,162
576,576,441,20,29,49
577,577,68,52,37,89
578,578,63,22,89,111
579,579,179,15,88,103
580,580,161,52,120,172
581,581,198,57,22,79
582,582,410,50,58,108
583,583,342,59,81,140
584,584,374,11,106,117
585,585,208,59,98,157
586,586,233,44,51,95
587,587,357,27,99,126
588,588,391,54,94,148
589,589,471,26,90,116
590,590,2,22,103,125
591,591,275,22,30,52
592,592,85,56,15,71
593,593,216,38,64,102
594,594,211,42,85,127
595,595,306,12,47,59
596,596,466,38,29,67
597,597,50,13,89,102
598,598,183,42,71,113
599,599,51,38,109,147
600,600,284,39,87,126
601,601,195,54,114,168
602,602,384,57,118,175
603,603,156,56,61,117
604,604,293,41,20,61
605,605,260,13,29,42
606,606,350,15,44,59
607,607,418,27,113,140
608,608,200,55,47,102
609,609,391,29,80,109
610,610,401,51,94,145
611,611,110,42,52,94
612,612,164,60,38,98
613,613,316,55,53,108
614,614,176,51,95,146
615,615,129,35,54,89
616,616,167,40,113,153
617,617,377,10,45,55
618,618,4,60,39,99
619,619,155,29,20,49
620,620,214,43,115,158
621,621,226,33,109,142
622,622,284,27,22,49
623,623,352,37,27,64
624,624,321,40,108,148
625,625,409,56,78,134
626,626,388,58,89,147
627,627,47,34,18,52
628,628,137,48,107,155
629,629,451,51,48,99
630,630,293,42,111,153
631,631,226,34,55,89
632,632,176,42,89,131
633,633,434,16,67,83
634,634,274,42,67,109
635,635,356,56,116,172
636,636,376,18,24,42
637,637,209,21,39,60
638,638,338,18,57,75
639,639,35,22,106,128
640,640,321,10,64,74
641,641,238,12,111,123
642,642,417,60,108,168
643,643,140,31,83,114
644,644,481,56,82,138
645,645,53,30,111,141
646,646,256,11,110,121
647,647,337,44,94,138
648,648,151,47,58,105
649,649,58,13,29,42
650,650,225,12,28,40
651,651,439,41,70,111
652,652,31,56,114,170
653,653,68,11,94,105
654,654,334,14,27,41
655,655,341,42,25,67
656,656,456,38,34,72
657,657,1,51,111,162
658,658,402,11,74,85
659,659,431,30,110,140
660,660,467,11,73,84
661,661,366,48,64,112
662,662,368,27,29,56
663,663,337,29,24,53
664,664,77,10,26,36
665,665,404,40,114,154
666,666,31,52,80,132
667,667,223,14,87,101
668,668,376,37,94,131
669,669,108,24,21,45
670,670,291,27,48,75
671,671,427,20,67,87
672,672,259,33,77,110
673,673,131,10,17,27
674,674,338,34,81,115
675,675,190,26,116,142
676,676,457,30,47,77
677,677,404,15,119,134
678,678,77,43,115,158
679,679,268,27,76,103
680,680,310,21,106,127
681,681,52,28,40,68
682,682,374,55,20,75
683,683,268,15,68,83
684,684,444,11,67,78
685,685,228,22,69,91
686,686,307,31,79,110
687,687,261,23,44,67
688,688,187,20,80,100
689,689,293,24,56,80
690,690,373,17,34,51
691,691,34,13,94,107
692,692,107,55,77,132
693,693,119,35,79,114
694,694,241,15,32,47
695,695,119,19,22,41
696,696,454,55,46,101
697,697,170,43,106,149
698,698,55,50,77,127
699,699,229,46,96,142
700,700,26,52,96,148
701,701,239,29,88,117
702,702,68,47,28,75
703,703,396,51,15,66
704,704,168,11,75,86
705,705,216,28,26,54
706,706,387,19,57,76
707,707,48,49,118,167
708,708,261,19,23,42
709,709,374,60,17,77
710,710,350,31,16,47
711,711,395,21,117,138
712,712,324,58,16,74
713,713,1,15,36,51
714,714,132,56,31,87
715,715,78,16,51,67
716,716,442,16,34,50
717,717,320,44,60,104
718,718,46,19,18,37
719,719,5,17,90,107
720,720,166,41,30,71
721,721,399,50,93,143
722,722,225,53,86,139
723,723,166,26,35,61
724,724,272,20,76,96
725,725,126,21,18,39
726,726,299,23,117,140
727,727,183,31,92,123
728,728,167,60,56,116
729,729,266,16,54,70
730,730,238,16,66,82
731,731,153,17,33,50
732,732,360,23,40,63
733,733,474,48,31,79
734,734,212,19,118,137
735,735,371,41,47,88
736,736,220,26,80,106
737,737,378,34,72,106
738,738,133,55,55,110
739,739,320,37,16,53
740,740,235,19,112,131
741,741,218,29,21,50
742,742,26,32,34,66
743,743,345,31,47,78
744,744,54,37,43,80
745,745,327,52,60,112
746,746,286,12,75,87
747,747,52,43,88,131
748,748,90,39,29,68
749,749,350,13,64,77
750,750,472,53,44,97
751,751,195,22,79,101
752,752,300,42,56,98
753,753,416,18,78,96
754,754,313,35,41,76
755,755,390,11,61,72
756,756,374,30,109,139
757,757,407,46,73,119
758,758,429,13,88,101
759,759,185,57,81,138
760,760,361,22,38,60
761,761,92,21,79,100
762,762,322,31,105,136
763,763,338,37,31,68
764,764,394,16,115,131
765,765,185,33,51,84
766,766,246,57,72,129
767,767,303,12,37,49
768,768,380,47,18,65
769,769,97,20,25,45
770,770,101,48,28,76
771,771,270,36,118,154
772,772,249,29,67,96
773,773,392,20,28,48
774,774,356,59,40,99
775,775,366,49,20,69
776,776,433,11,106,117
777,777,337,37,58,95
778,778,206,48,88,136
779,779,111,48,30,78
780,780,253,36,18,54
781,781,107,44,44,88
782,782,320,50,57,107
783,783,184,12,31,43
784,784,415,12,35,47
785,785,310,22,63,85
786,786,379,20,51,71
787,787,25,49,85,134
788,788,349,33,63,96
789,789,123,14,48,62
790,790,455,38,45,83
791,791,271,18,42,60
792,792,475,57,37,94
793,793,250,18,67,85
794,794,363,34,65,99
795,795,325,14,20,34
796,796,466,54,108,162
797,797,472,38,22,60
798,798,128,21,77,98
799,799,152,50,108,158
800,800,70,12,105,117
801,801,245,58,70,128
802,802,27,23,51,74
803,803,428,42,42,84
804,804,292,12,57,69
805,805,243,43,98,141
806,806,391,27,112,139
807,807,149,24,39,63
808,808,262,47,63,110
809,809,307,39,92,131
810,810,23,55,53,108
811,811,462,25,47,72
812,812,381,17,20,37
813,813,293,13,59,72
814,814,44,15,50,65
815,815,99,21,60,81
816,816,56,16,30,46
817,817,136,36,53,89
818,818,106,55,56,111
819,819,450,52,64,116
820,820,15,37,60,97
821,821,358,48,117,165
822,822,179,50,94,144
823,823,173,29,25,54
824,824,173,17,41,58
825,825,109,30,79,109
826,826,233,47,112,159
827,827,406,19,32,51
828,828,312,20,100,120
829,829,95,14,61,75
830,830,125,17,18,35
831,831,266,39,54,93
832,832,475,50,36,86
833,833,329,21,38,59
834,834,218,37,59,96
835,835,222,20,62,82
836,836,57,12,83,95
837,837,259,24,89,113
838,838,336,56,20,76
839,839,88,31,61,92
840,840,241,53,116,169
841,841,206,32,17,49
842,842,406,28,48,76
843,843,219,44,28,72
844,844,177,27,44,71
845,845,60,49,19,68
846,846,392,40,43,83
847,847,229,41,54,95
848,848,104,32,66,98
849,849,457,37,18,55
850,850,209,49,23,72
851,851,426,15,107,122
852,852,123,28,107,135
853,853,56,20,118,138
854,854,366,52,119,171
855,855,132,36,61,97
856,856,178,36,90,126
857,857,412,58,73,131
858,858,376,41,32,73
859,859,413,35,95,130
860,860,134,42,120,162
861,861,392,42,72,114
862,862,129,17,106,123
863,863,45,55,58,113
864,864,63,37,111,148
865,865,83,57,101,158
866,866,249,23,25,48
867,867,213,56,64,120
868,868,144,20,64,84
869,869,238,42,56,98
870,870,75,52,28,80
871,871,316,13,80,93
872,872,325,39,26,65
873,873,222,56,75,131
874,874,447,35,94,129
875,875,102,31,37,68
876,876,412,26,38,64
877,877,198,33,101,134
878,878,9,49,32,81
879,879,2,24,48,72
880,880,451,20,97,117
881,881,280,37,89,126
882,882,265,58,113,171
883,883,139,41,28,69
884,884,445,51,87,138
885,885,219,47,60,107
886,886,116,35,32,67
887,887,413,58,102,160
888,888,47,52,42,94
889,889,346,60,109,169
890,890,333,30,113,143
891,891,462,31,15,46
892,892,199,50,117,167
893,893,434,27,110,137
894,894,224,17,62,79
895,895,39,47,77,124
896,896,408,36,21,57
897,897,56,27,60,87
898,898,359,12,60,72
899,899,136,24,92,116
900,900,241,15,105,120
901,901,220,15,58,73
902,902,139,31,120,151
903,903,93,31,98,129
904,904,398,59,56,115
905,905,346,35,118,153
906,906,96,41,62,103
907,907,397,25,118,143
908,908,81,42,97,139
909,909,205,18,100,118
910,910,242,28,38,66
911,911,289,31,106,137
912,912,150,26,58,84
913,913,174,49,27,76
914,914,470,55,108,163
915,915,82,51,38,89
916,916,99,47,101,148
917,917,165,20,74,94
918,918,390,26,92,118
919,919,444,45,28,73
920,920,105,24,83,107
921,921,33,21,47,68
922,922,408,46,49,95
923,923,297,54,111,165
924,924,316,50,86,136
925,925,50,35,88,123
926,926,446,39,94,133
927,927,139,27,79,106
928,928,171,24,102,126
929,929,458,28,58,86
930,930,21,55,56,111
931,931,398,50,117,167
932,932,43,22,78,100
933,933,364,21,24,45
934,934,70,41,93,134
935,935,97,53,69,122
936,936,198,60,55,115
937,937,61,42,42,84
938,938,30,30,69,99
939,939,227,41,22,63
940,940,163,28,107,135
941,941,443,57,99,156
942,942,71,31,84,115
943,943,76,33,70,103
944,944,19,51,18,69
945,945,2,20,34,54
946,946,200,52,119,171
947,947,452,42,86,128
948,948,137,22,46,68
949,949,140,39,19,58
950,950,282,21,80,101
951,951,335,45,51,96
952,952,156,43,87,130
953,953,2,16,28,44
954,954,27,20,89,109
955,955,105,48,94,142
956,956,41,42,84,126
957,957,152,12,52,64
958,958,87,47,40,87
959,959,129,19,30,49
960,960,272,60,49,109
961,961,344,53,54,107
962,962,14,24,29,53
963,963,154,50,58,108
964,964,261,49,27,76
965,965,446,56,117,173
966,966,109,13,38,51
967,967,214,51,32,83
968,968,105,60,107,167
969,969,470,42,54,96
970,970,259,40,43,83
971,971,10,54,93,147
972,972,144,10,31,41
973,973,11,36,72,108
974,974,403,43,115,158
975,975,367,44,66,110
976,976,319,18,119,137
977,977,156,40,65,105
978,978,286,30,36,66
979,979,379,44,55,99
980,980,198,24,97,121
981,981,197,27,80,107
982,982,351,15,108,123
983,983,319,23,120,143
984,984,321,14,119,133
985,985,193,58,90,148
986,986,5,15,81,96
987,987,18,11,108,119
988,988,346,53,39,92
989,989,27,37,16,53
990,990,174,11,118,129
991,991,463,26,50,76
992,992,241,34,40,74
993,993,343,26,103,129
994,994,395,54,86,140
995,995,434,11,109,120
996,996,339,51,21,72
997,997,177,19,27,46
998,998,342,24,64,88
999,999,75,15,42,57
1000,1000,24,12,46,58
1001,1001,302,10,25,35
1002,1002,292,57,75,132
1003,1003,29,26,102,128
1004,1004,156,13,116,129
1005,1005,275,53,45,98
1006,1006,465,42,88,130
1007,1007,137,56,40,96
1008,1008,314,25,105,130
1009,1009,120,47,44,91
1010,1010,258,46,42,88
1011,1011,440,48,30,78
1012,1012,52,60,36,96
1013,1013,410,11,112,123
1014,1014,181,10,65,75
1015,1015,343,42,24,66
1016,1016,434,18,85,103
1017,1017,62,32,120,152
1018,1018,156,53,56,109
1019,1019,148,47,52,99
1020,1020,246,20,107,127
1021,1021,340,43,89,132
1022,1022,427,13,117,130
1023,1023,316,22,15,37
1024,1024,75,55,52,107
1025,1025,343,41,54,95
1026,1026,2,54,110,164
1027,1027,268,50,65,115
1028,1028,51,29,47,76
1029,1029,86,47,119,166
1030,1030,413,41,99,140
1031,1031,127,21,18,39
1032,1032,199,37,64,101
1033,1033,46,10,70,80
1034,1034,35,44,35,79
1035,1035,113,25,107,132
1036,1036,63,21,46,67
1037,1037,160,40,19,59
1038,1038,168,25,39,64
1039,1039,123,32,54,86
1040,1040,307,49,58,107
1041,1041,130,43,106,149
1042,1042,351,32,16,48
1043,1043,112,28,35,63
1044,1044,168,13,72,85
1045,1045,107,10,44,54
1046,1046,130,28,53,81
1047,1047,38,58,109,167
1048,1048,48,14,104,118
1049,1049,221,26,17,43
1050,1050,394,10,78,88
1051,1051,272,13,46,59
1052,1052,87,54,92,146
1053,1053,52,35,72,107
1054,1054,343,42,54,96
1055,1055,58,19,84,103
1056,1056,319,22,33,55
1057,1057,252,53,79,132
1058,1058,253,54,118,172
1059,1059,372,56,120,176
1060,1060,469,31,31,62
1061,1061,314,40,36,76
1062,1062,425,28,56,84
1063,1063,67,46,17,63
1064,1064,222,42,75,117
1065,1065,48,50,108,158
1066,1066,29,43,41,84
1067,1067,477,11,74,85
1068,1068,430,23,26,49
1069,1069,39,24,63,87
1070,1070,232,43,100,143
1071,1071,301,50,83,133
1072,1072,419,26,65,91
1073,1073,215,21,64,85
1074,1074,345,56,117,173
1075,1075,170,51,78,129
1076,1076,442,13,63,76
1077,1077,376,25,39,64
1078,1078,244,45,85,130
1079,1079,275,26,61,87
1080,1080,29,42,87,129
1081,1081,146,14,108,122
1082,1082,346,33,57,90
1083,1083,234,40,92,132
1084,1084,350,27,86,113
1085,1085,94,56,35,91
1086,1086,58,49,54,103
1087,1087,364,23,45,68
1088,1088,300,57,114,171
1089,1089,427,10,84,94
1090,1090,304,36,120,156
1091,1091,230,35,90,125
1092,1092,181,17,93,110
1093,1093,232,17,45,62
1094,1094,101,18,37,55
1095,1095,276,19,94,113
1096,1096,32,16,62,78
1097,1097,114,37,29,66
1098,1098,52,23,88,111
1099,1099,468,37,100,137
1100,1100,384,25,87,112
1101,1101,20,58,22,80
1102,1102,123,32,15,47
1103,1103,427,24,86,110
1104,1104,92,35,42,77
1105,1105,289,17,102,119
1106,1106,57,37,109,146
1107,1107,177,32,51,83
1108,1108,150,29,104,133
1109,1109,106,47,102,149
1110,1110,164,58,97,155
1111,1111,419,51,83,134
1112,1112,40,39,38,77
1113,1113,53,11,28,39
1114,1114,107,24,94,118
1115,1115,297,46,22,68
1116,1116,463,48,32,80
1117,1117,84,15,70,85
1118,1118,360,45,47,92
1119,1119,146,42,62,104
1120,1120,174,42,41,83
1121,1121,162,17,116,133
1122,1122,352,21,107,128
1123,1123,156,22,66,88
1124,1124,70,58,62,120
1125,1125,307,41,49,90
1126,1126,245,39,112,151
1127,1127,157,48,36,84
1128,1128,398,36,21,57
1129,1129,441,51,73,124
1130,1130,310,45,18,63
1131,1131,97,31,52,83
1132,1132,72,18,40,58
1133,1133,176,34,93,127
1134,1134,115,50,58,108
1135,1135,476,52,45,97
1136,1136,50,24,73,97
1137,1137,336,29,39,68
